id,source,url,title,organization,salary_from,salary_to,salary_currency,salary_raw,published_at,published_raw,region,experience,employment_type,description,extra_info,is_archive,archive_timestamp,scraped_at
67,profiminer.ru,https://profiminer.ru/vacancy/1732/,Повар (полевая кухня),,,,,,,2023-05-26T13:59:03+03:00,,,,,,1,20230530203058,2026-09-08T16:28:30.844865
68,profiminer.ru,https://profiminer.ru/vacancy/1725/,Машинист ПДМ,,,,,,,,,,,,,1,20240205180448,2026-09-08T16:29:17.061505
69,profiminer.ru,https://profiminer.ru/vacancy/1735/,Машинист насосных установок,,,,,,,2023-05-26T13:54:42+03:00,,,,,,1,20230530221352,2026-09-08T16:29:52.583579
70,profiminer.ru,https://profiminer.ru/vacancy/1738/,Машинист конвейера,,,,,,,2023-05-26T13:53:59+03:00,,,,,,1,20230530213248,2026-09-08T16:30:17.983186
71,profiminer.ru,https://profiminer.ru/vacancy/1732/,Повар (полевая кухня),,,,,,,,,,,,,1,20241013110758,2026-09-08T16:32:34.500876
72,profiminer.ru,https://profiminer.ru/vacancy/1725/,Машинист ПДМ,,,,,,,2023-05-26T13:56:19+03:00,,,,,,1,20230530210611,2026-09-08T16:33:21.098315
73,profiminer.ru,https://profiminer.ru/vacancy/3681/,Электрослесарь подземный,,,,,,,2024-10-17T12:13:10+03:00,,,,,,1,20241112052022,2026-09-08T16:35:15.149120
74,profiminer.ru,https://profiminer.ru/vacancy/3680/,Механик ЗИФ,,,,,,,2024-10-17T12:10:29+03:00,,,,,,1,20241112070816,2026-09-08T16:35:21.302147
75,profiminer.ru,https://profiminer.ru/vacancy/3679/,Бухгалтер (учет расходов по вахте),,,,,,,2024-10-17T12:03:50+03:00,,,,,,1,20241112061339,2026-09-08T16:36:44.168465
76,profiminer.ru,https://profiminer.ru/vacancy/3678/,Слесарь по ремонту горного оборудования (ГШО),,,,,,,2024-10-17T12:00:25+03:00,,,,,,1,20241112054759,2026-09-08T16:37:07.172211
77,profiminer.ru,https://profiminer.ru/vacancy/3677/,Слесарь КИПиА,,,,,,,2024-10-17T11:57:39+03:00,,,,,,1,20241112072317,2026-09-08T16:37:27.461174
78,profiminer.ru,https://profiminer.ru/vacancy/3676/,Фильтровальщик ЗИФ,,,,,,,2024-10-17T11:53:13+03:00,,,,,,1,20241219140500,2026-09-08T16:37:48.027261
79,profiminer.ru,https://profiminer.ru/vacancy/3675/,Концентраторщик ЗИФ,,,,,,,2024-10-17T11:48:48+03:00,,,,,,1,20241112061948,2026-09-08T16:38:16.647882
80,profiminer.ru,https://profiminer.ru/vacancy/3674/,Ведущий юрисконсульт,,,,,,,2024-10-17T11:45:28+03:00,,,,,,1,20241112055238,2026-09-08T16:38:26.834863
81,profiminer.ru,https://profiminer.ru/vacancy/3672/,Электрогазосварщик с НАКС,,,,,,,,,,,,,1,20250124202805,2026-09-08T16:39:12.009839
82,profiminer.ru,https://profiminer.ru/vacancy/3671/,Водитель Камаза (топливозаправщик),,,,,,,,,,,,,1,20250124202805,2026-09-08T16:39:37.374293
83,profiminer.ru,https://profiminer.ru/vacancy/3674/,Ведущий юрисконсульт,,,,,,,,,,,,,1,20250307190621,2026-09-08T16:42:45.592040
84,profiminer.ru,https://profiminer.ru/vacancy/3672/,Электрогазосварщик с НАКС,,,,,,,2024-10-16T16:29:42+03:00,,,,,,1,20241112070522,2026-09-08T16:43:15.763235
85,profiminer.ru,https://profiminer.ru/vacancy/3671/,Водитель Камаза (топливозаправщик),,,,,,,2024-10-16T16:26:49+03:00,,,,,,1,20241112062529,2026-09-08T16:43:27.452318
96,profiminer.ru,https://profiminer.ru/vacancy/4893/,Электросварщик ручной сварки,,,,,,,,,,,,,1,20251108041414,2026-09-08T16:48:17.740394
101,profiminer.ru,https://profiminer.ru/vacancy/4888/,Горнорабочий (геологоразведочные работы),,,,,,,,,,,,,1,20251108041414,2026-09-08T16:50:01.354547
108,profiminer.ru,https://profiminer.ru/vacancy/4881/,Механик дизель-генераторной установки,,,,,,,,,,,,,1,20251108041414,2026-09-08T16:52:20.079085
